id,composer,composition,movement,ensemble,source,transcriber,catalog_name,seconds
2365,Beethoven,String Quartet No 12 in E-flat major,1. Maestoso - Allegro,String Quartet,Pascal String Quartet,suzumedia,OP127,402
2366,Beethoven,String Quartet No 12 in E-flat major,"2. Adagio, ma non troppo e molto cantabile",String Quartet,Pascal String Quartet,suzumedia,OP127,941
2368,Beethoven,String Quartet No 12 in E-flat major,4. Allegro,String Quartet,Pascal String Quartet,suzumedia,OP127,434
2376,Beethoven,String Quartet No 8 in E minor,1. Allegro,String Quartet,European Archive,suzumedia,OP59NO2,581
2377,Beethoven,String Quartet No 8 in E minor,2. Molto adagio,String Quartet,European Archive,suzumedia,OP59NO2,767
2379,Beethoven,String Quartet No 8 in E minor,"4. Finale, Presto, alla breve",String Quartet,European Archive,suzumedia,OP59NO2,334
2381,Beethoven,String Quartet No 13 in B-flat major,"1. Adagio, ma non troppo - Allegro",String Quartet,European Archive,suzumedia,OP130,560
2382,Beethoven,String Quartet No 13 in B-flat major,2. Presto,String Quartet,European Archive,suzumedia,OP130,117
2383,Beethoven,String Quartet No 13 in B-flat major,"3. Andante con moto, ma non troppo. Poco scherzoso",String Quartet,European Archive,suzumedia,OP130,383
2384,Beethoven,String Quartet No 13 in B-flat major,4. Alla danza tedesca. Allegro assai,String Quartet,European Archive,suzumedia,OP130,212
2397,Beethoven,Violin Sonata No 9 in A major,1. Adagio sostenuto - Presto,Accompanied Violin,Edward Auer,Darren L. Slider,OP47,623
2398,Beethoven,Violin Sonata No 9 in A major,2. Andante con variazioni,Accompanied Violin,Edward Auer,Darren L. Slider,OP47,910
2403,Beethoven,String Quartet No 1 in F Major,4. Allegro,String Quartet,European Archive,suzumedia,OP18NO1,358
2415,Beethoven,Sextet in E-flat major for Winds,2. Adagio,Pairs Clarinet-Horn-Bassoon,Skidmore Wind Ensemble,Edgard Bourgevin,OP71,227
2416,Beethoven,Sextet in E-flat major for Winds,3. Menuetto. Quasi Allegretto - Trio,Pairs Clarinet-Horn-Bassoon,Skidmore Wind Ensemble,Edgard Bourgevin,OP71,139
2417,Beethoven,Sextet in E-flat major for Winds,4. Rondo. Allegro,Pairs Clarinet-Horn-Bassoon,Skidmore Wind Ensemble,Edgard Bourgevin,OP71,227
2420,Beethoven,Violin Sonata No 2 in A major,3. Allegro piacevole,Accompanied Violin,European Archive,Darren L. Slider,OP12NO2,236
2431,Beethoven,String Quartet No 16 in F major,1. Allegretto,String Quartet,European Archive,suzumedia,OP135,320
2432,Beethoven,String Quartet No 16 in F major,2. Vivace,String Quartet,European Archive,suzumedia,OP135,193
2433,Beethoven,String Quartet No 16 in F major,"3. Lento assai, cantante e tranquillo",String Quartet,European Archive,suzumedia,OP135,461
2451,Beethoven,String Quartet No 6 in B-flat major,2. Adagio ma non troppo,String Quartet,Museopen,suzumedia,OP18NO6,421
2462,Beethoven,Violin Sonata No 4 in A minor,"2. Andante scherzoso, piu allegretto",Accompanied Violin,European Archive,Darren L. Slider,OP23,489
2463,Beethoven,Violin Sonata No 4 in A minor,3. Allegro molto,Accompanied Violin,European Archive,Darren L. Slider,OP23,309
2466,Beethoven,Violin Sonata No 4 in A minor,3. Allegro molto,Accompanied Violin,European Archive,Darren L. Slider,OP23,305
2480,Beethoven,String Quartet No 5 in A major,1. Allegro,String Quartet,Pascal String Quartet,suzumedia,OP18NO5,395
2481,Beethoven,String Quartet No 5 in A major,2. Menuetto,String Quartet,Pascal String Quartet,suzumedia,OP18NO5,354
2482,Beethoven,String Quartet No 5 in A major,3. Andante cantabile (Theme with variations,String Quartet,Pascal String Quartet,suzumedia,OP18NO5,568
2483,Beethoven,String Quartet No 5 in A major,4. Allegro,String Quartet,Pascal String Quartet,suzumedia,OP18NO5,367
2494,Beethoven,String Quartet No 11 in F minor,1. Allegro con brio,String Quartet,Pascal String Quartet,suzumedia,OP95,297
2497,Beethoven,String Quartet No 11 in F minor,4. Larghetto espressivo; Allegretto agitato; Allegro,String Quartet,Pascal String Quartet,suzumedia,OP95,294
2501,Beethoven,Violin Sonata No 3 in E-flat major,2. Adagio con molta espressione,Accompanied Violin,Sayuri Yano,Darren L. Slider,OP12NO3,367
2502,Beethoven,Violin Sonata No 3 in E-flat major,3. Rondo: Allegro molto,Accompanied Violin,Sayuri Yano,Darren L. Slider,OP12NO3,267
2504,Beethoven,Octet in E-flat major for Winds,1. Allegro,Wind Octet,Soni Ventorum,Oliver Seely,OP103,460
2505,Beethoven,Octet in E-flat major for Winds,2. Andante,Wind Octet,Soni Ventorum,Oliver Seely,OP103,489
2506,Beethoven,Octet in E-flat major for Winds,3. Menuetto,Wind Octet,Soni Ventorum,Oliver Seely,OP103,187
2507,Beethoven,Octet in E-flat major for Winds,4. Presto,Wind Octet,Soni Ventorum,Oliver Seely,OP103,217
2521,Beethoven,Cello Sonata No 3 in A major,1. Allegro ma non tanto,Accompanied Cello,Hielko Ubels,suzumedia,OP69,751
2522,Beethoven,Cello Sonata No 3 in A major,2. Scherzo. Allegro molto,Accompanied Cello,Hielko Ubels,suzumedia,OP69,363
2523,Beethoven,Cello Sonata No 3 in A major,3. Adagio cantabile - Allegro vivace,Accompanied Cello,Hielko Ubels,suzumedia,OP69,558
2560,Beethoven,String Quartet No 2 in G major,2. Adagio cantabile - Allegro - Tempo I,String Quartet,Pascal String Quartet,suzumedia,OP18NO2,379
2562,Beethoven,String Quartet No 2 in G major,"4. Allegro molto, quasi presto",String Quartet,Pascal String Quartet,suzumedia,OP18NO2,330
2571,Beethoven,Violin Sonata No 7 in C minor,2. Adagio cantibile,Accompanied Violin,Chris Borovas,Darren L. Slider,OP30NO2,540
2586,Beethoven,Cello Sonata No 4 in C major,2. Adagio - Tempo d andante - Allegro vivace,Accompanied Cello,John Michel,suzumedia,OP102NO1,429
2621,Beethoven,String Quartet No 7 in F major,1. Allegro,String Quartet,European Archive,suzumedia,OP59NO1,648
2622,Beethoven,String Quartet No 7 in F major,2. Allegretto vivace e sempre scherzando,String Quartet,European Archive,suzumedia,OP59NO1,507
2626,Beethoven,Violin Sonata No 10 in G major,1. Allegro moderato,Accompanied Violin,Irrera Brothers,suzumedia,OP96,593
2627,Beethoven,Violin Sonata No 10 in G major,2. Adagio espressivo,Accompanied Violin,Irrera Brothers,suzumedia,OP96,323
2628,Beethoven,Violin Sonata No 10 in G major,3. Scherzo: Allegro - Trio,Accompanied Violin,Irrera Brothers,suzumedia,OP96,124
2629,Beethoven,Violin Sonata No 10 in G major,4. Poco allegretto,Accompanied Violin,Irrera Brothers,suzumedia,OP96,517
